WTI,Dow Jones,DAX,Nasdaq100 
24.14,24221.99,10824.99,9298.92
25.78,23764.78,10819.50,9112.45
25.29,23247.97,10542.66,9000.08
27.56,23625.34,10337.02,9094.42
29.43,23685.42,10465.17,9152.64
31.82,24597.37,11058.87,9331.93
32.50,24206.86,11075.29,9298.54
33.49,24575.90,11223.71,9485.02
33.92,24474.12,11065.93,9377.99
33.25,24465.16,11073.87,9413.99
34.35,24995.11,11504.65,9389.98
32.81,25548.27,11657.69,9442.05
33.71,25400.64,11781.13,9416.71
35.49,25383.11,11586.85,9555.53
36.81,25742.65,12021.28,9657.31
37.29,26269.89,12487.36,9704.69
37.41,26281.82,12430.56,9629.66
39.55,27110.98,12847.68,9824.39
38.19,27572.44,12819.59,9901.52
38.94,27272.30,12617.99,9967.17
39.60,26989.99,12530.16,10094.26
36.34,25128.17,11970.29,9588.48
36.26,25605.54,11949.28,9663.78
37.12,25763.16,11911.35,9776.89
38.38,26289.98,12315.66,9949.37
37.96,26119.61,12382.14,9982.48
38.84,26080.10,12281.53,10012.05
39.75,25871.46,12330.76,10008.64
40.46,26024.96,12262.97,10130.33
40.37,26156.10,12523.76,10209.82
38.01,25445.94,12093.94,10002.70
38.72,25745.60,12177.87,10101.83
38.49,25015.55,12089.39,9849.36
39.70,25595.80,12232.12,9961.16
39.27,25812.88,12310.93,10156.85
39.82,25734.97,12260.57,10279.25
40.65,25827.36,12608.46,10341.89
40.63,26287.03,12733.45,10604.06
40.62,25890.18,12616.80,10524.01
40.90,26067.28,12494.81,10666.70
39.62,25706.09,12489.46,10754.59
40.55,26075.30,12633.71,10836.33
40.10,26085.80,12799.97,10602.21
40.29,26642.59,12697.36,10689.52
41.20,26870.10,12930.98,10701.68
40.75,26734.71,12874.97,10626.46
40.59,26671.95,12919.61,10645.22
40.81,26680.87,13046.92,10952.08
41.96,26840.40,13171.83,10833.07
41.90,27005.84,13104.25,10870.75
41.07,26652.33,13103.39,10580.59
41.29,26469.89,12838.06,10483.13
41.60,26584.77,12838.66,10674.38
41.04,26379.28,12835.28,10532.50
41.27,26539.57,12822.26,10662.98
39.92,26313.65,12379.65,10715.51
40.27,26428.32,12313.36,10905.88
41.01,26664.40,12646.98,11055.08
41.70,26828.47,12600.87,11096.54
42.19,27201.52,12660.25,11125.44
41.95,27386.98,12591.68,11267.08
41.22,27433.48,12674.88,11139.39
41.94,27791.44,12687.53,11085.17
41.61,27686.91,12946.89,10876.08
42.67,27976.84,13058.63,11157.72
42.24,27896.72,12993.71,11178.37
42.01,27931.02,12901.34,11164.45
42.89,27844.91,12920.66,11288.57
42.89,27778.07,12881.76,11399.03
42.93,27692.88,12977.33,11318.64
42.58,27739.73,12830.00,11477.05
42.34,27930.33,12764.80,11555.16
42.62,28308.46,13066.54,11626.17
43.35,28248.44,13061.62,11721.80
43.39,28331.92,13190.15,11971.94
43.04,28492.27,13096.36,11926.16
42.97,28653.87,13033.20,11995.86
42.61,28430.05,12945.38,12110.70
42.76,28645.66,12974.25,12292.86
41.51,29100.50,13243.43,12420.54
41.37,28292.73,13057.77,11771.37
39.77,28133.31,12842.66,11622.13
36.76,27500.89,12968.33,11068.26
38.05,27940.47,13237.21,11395.85
37.30,27534.58,13208.89,11154.12
37.33,27665.64,13202.84,11087.40
37.26,27993.33,13193.66,11277.76
38.28,27995.60,13217.67,11438.87
40.16,28032.38,13255.37,11247.60
40.97,27901.98,13208.12,11080.95
41.11,27657.42,13116.25,10936.98
39.31,27147.70,12542.44,10980.22
39.60,27288.18,12594.39,11186.37
39.93,26763.13,12642.97,10833.33
40.31,26815.44,12606.57,10896.47
40.25,27173.96,12469.20,11151.13
40.60,27584.06,12870.87,11364.45
39.29,27452.66,12825.82,11322.95
40.22,27781.70,12760.73,11418.06
38.72,27816.90,12730.77,11583.20
37.05,27682.81,12689.04,11255.69
39.22,28148.64,12828.31,11509.06
40.67,27772.76,12906.02,11291.27
39.95,28303.46,12928.57,11503.19
41.19,28425.51,13042.21,11550.94
40.60,28586.90,13051.23,11725.85
39.43,28837.52,13138.41,12088.11
40.20,28679.81,13018.99,12083.17
41.04,28514.00,13028.06,11985.36
40.96,28494.20,12703.75,11898.57
40.88,28606.31,12908.99,11852.17
40.83,28195.42,12854.66,11634.35
41.46,28308.79,12736.95,11677.84
40.03,28210.82,12557.64,11665.37
40.64,28363.66,12543.06,11662.91
39.85,28335.57,12645.75,11692.57
38.56,27685.38,12177.18,11504.52
39.57,27463.19,12063.57,11598.95
37.39,26519.95,11560.51,11142.76
36.17,26659.11,11598.07,11350.74
35.79,26501.60,11556.48,11052.95
36.81,26925.05,11784.10,11084.76
37.66,27480.03,12088.98,11279.91
39.15,27847.66,12324.22,11777.02
38.79,28390.18,12568.09,12078.07
37.14,28323.40,12480.02,12091.35
40.29,29157.97,13095.97,11830.38
41.36,29420.92,13163.11,11624.29
41.45,29397.63,13216.18,11892.93
41.12,29080.17,13052.95,11827.14
40.13,29479.81,13076.72,11937.84
41.34,29950.44,13138.61,12013.38
41.43,29783.35,13133.47,11977.49
41.82,29438.42,13201.89,11894.71
41.74,29483.23,13086.16,11985.43
42.15,29263.48,13137.25,11906.44
43.06,29591.27,13126.97,11905.94
44.91,30046.24,13292.44,12079.81
45.71,29872.47,13289.80,12152.21
45.53,29910.37,13335.68,12258.21
45.34,29638.64,13291.16,12268.32
44.55,29823.92,13382.30,12455.33
45.28,29883.79,13313.24,12456.41
45.64,29969.52,13252.86,12467.13
46.26,30218.26,13298.96,12528.48
45.76,30069.79,13271.00,12596.47
45.60,30173.88,13278.49,12635.72
45.52,30068.81,13340.26,12364.64
46.78,29999.26,13295.73,12401.74
46.57,30046.37,13114.30,12375.41
46.99,29861.55,13223.16,12462.21
47.62,30199.31,13362.87,12595.92
47.82,30154.54,13565.98,12668.16
48.36,30303.37,13667.25,12752.06
49.10,30179.05,13630.51,12738.18
47.74,30216.45,13246.30,12690.26
47.02,30015.51,13418.11,12717.56
48.12,30129.83,13587.23,12653.14
47.62,30403.97,13790.29,12838.86
48.00,30335.67,13761.38,12843.49
48.40,30409.56,13718.78,12845.36

