Brent,S&P500,Dow Jones,Nasdaq100 
44.96,3557.54,29263.48,11906.44
46.06,3577.59,29591.27,11905.94
47.86,3635.41,30046.24,12079.81
48.61,3629.65,29872.47,12152.21
48.18,3638.35,29910.37,12258.21
47.59,3621.63,29638.64,12268.32
47.42,3662.45,29823.92,12455.33
48.25,3669.01,29883.79,12456.41
48.71,3666.72,29969.52,12467.13
49.25,3699.12,30218.26,12528.48
48.79,3691.96,30069.79,12596.47
48.84,3702.25,30173.88,12635.72
48.86,3672.82,30068.81,12364.64
50.25,3668.10,29999.26,12401.74
49.97,3663.46,30046.37,12375.41
50.29,3647.49,29861.55,12462.21
50.76,3694.62,30199.31,12595.92
51.08,3701.17,30154.54,12668.16
51.50,3722.48,30303.37,12752.06
52.26,3709.41,30179.05,12738.18
50.91,3694.92,30216.45,12690.26
50.08,3687.26,30015.51,12717.56
51.20,3690.01,30129.83,12653.14
50.86,3735.36,30403.97,12838.86
51.09,3727.04,30335.67,12843.49
51.34,3732.04,30409.56,12845.36

